,a,b,e,c,d
693,1,0,-9,1,1
694,1,0,-9,1,1
695,1,0,-9,1,1
696,1,0,-9,1,1
697,1,0,-9,1,1
698,1,0,-9,1,1
699,1,0,-9,1,1
700,1,0,-9,1,1
701,1,0,-9,1,1
702,1,0,-9,1,1
703,1,0,-9,1,1
704,1,0,-9,1,1
705,1,0,-9,1,1
706,1,0,-9,1,1
707,1,0,-9,1,1
708,1,0,-9,1,1
709,1,0,-9,1,1
710,1,0,-9,1,1
711,1,0,-9,1,1
712,1,0,-9,1,1
713,1,0,-9,1,1
714,1,0,-9,1,1
715,1,0,-9,1,1
716,1,0,-9,1,1
717,1,0,-9,1,1
718,1,0,-9,1,1
719,1,0,-9,1,1
720,1,0,-9,1,1
721,1,0,-9,1,1
722,1,0,-9,1,1
723,1,0,-9,1,1
724,1,0,-9,1,1
725,1,0,-9,1,1
726,1,0,-9,1,1
727,1,0,-9,1,1
728,1,0,-9,1,1
729,1,0,-9,1,1
730,-10,0,2,-10,1
731,-10,0,2,-10,1
732,-10,0,2,-10,1
733,-10,0,2,-10,1
734,-10,0,2,-10,1
735,-10,0,2,-10,1
736,-10,0,2,-10,1
737,-10,0,2,-10,1
738,-10,0,2,-10,1
739,-10,0,2,-10,1
740,-10,0,2,-10,1
741,-10,0,2,-10,1
742,-10,0,2,-10,1
743,-10,0,2,-10,1
744,-10,0,2,-10,1
745,-10,0,2,-10,1
746,-10,0,2,-10,1
747,-10,0,2,-10,1
748,-10,0,2,-10,1
749,-10,0,2,-10,1
750,-10,0,2,-10,1
751,-10,0,2,-10,1
752,-10,0,2,-10,1
753,-10,0,2,-10,1
754,-10,0,2,-10,1
755,-10,0,2,-10,1
756,-10,0,2,-10,1
757,-10,0,2,-10,1
758,-10,0,2,-10,1
759,-10,0,2,-10,1
760,-10,0,2,-10,1
761,-10,0,2,-10,1
762,-10,0,2,-10,1
763,-10,0,2,-10,1
764,-10,0,2,-10,1
765,-10,0,2,-10,1
766,-10,0,2,-10,1
767,-10,0,2,-10,1
768,-10,0,2,-10,1
769,-10,0,2,-10,1
770,-10,0,2,-10,1
771,-10,0,2,-10,1
772,-10,0,2,-10,1
773,-10,0,2,-10,1
774,-10,0,2,-10,1
775,-10,0,2,-10,1
776,-10,0,2,-10,1
777,-10,0,2,-10,1
778,-10,0,2,-10,1
779,-10,0,2,-10,1
780,-10,0,6,-10,1
781,-10,0,6,-10,1
782,-10,0,6,-10,1
783,-10,0,6,-10,1
784,-10,0,6,-10,1
785,-10,0,6,-10,1
786,-10,0,6,-10,1
787,-10,0,6,-10,1
788,-10,0,6,-10,1
789,-10,0,6,-10,1
790,-10,0,6,-10,1
791,-10,0,6,-10,1
